Roto_Rank_Bat,Season,Points,Total_Zn,Total_Z,Name,Team,Age,BA,R,RBI,HR,SB,BA_zscore,R_zscore,RBI_zscore,HR_zscore,SB_zscore
0,2019.0,554.0,3033.0809570389224,16.711470818487946,Ronald Acuna Jr.,Braves,21.0,0.28,127.0,101.0,41.0,37.0,0.7229475543473113,3.3710807841962356,2.616115921831729,3.3456545433189104,6.655672014793759
1,2019.0,619.0,2113.0493250425525,15.008520628283677,Christian Yelich,Brewers,27.0,0.32899999999999996,100.0,97.0,44.0,30.0,1.083688843025094,2.4899313033325274,2.482473601233506,3.6395148968309816,5.312911983861569
2,2019.0,439.0,2621.598276740677,14.119899431061995,Jonathan Villar,Orioles,28.0,0.27399999999999997,111.0,73.0,24.0,40.0,0.678775151652072,2.8489181288695935,1.680619677644168,1.6804458734171754,7.231140599478985
3,2019.0,699.0,2175.934445194661,13.535077375396892,Cody Bellinger,Dodgers,23.0,0.305,121.0,115.0,47.0,15.0,0.9069992322441393,3.1752697884487446,3.083864043925509,3.9333752503430524,2.4355690604354456
4,2019.0,491.0,2113.56760709775,12.484567051502111,Trevor Story,Rockies,26.0,0.294,111.0,85.0,35.0,23.0,0.8260164939695347,2.8489181288695935,2.081546639438837,2.7579338362947685,3.970151952929378
5,2019.0,412.0,1765.610801540964,11.82361070641917,Trea Turner,Nationals,26.0,0.298,96.0,57.0,19.0,35.0,0.8554647624330273,2.359390639500867,1.1460503952512762,1.190678617563724,6.272026291670277
6,2019.0,620.0,1576.6615993291682,11.742306880004142,Mike Trout,Angels,27.0,0.29100000000000004,110.0,104.0,45.0,11.0,0.8039302926219157,2.8162829629116786,2.716347662280396,3.7374683480016717,1.6682776141884796
7,2019.0,518.0,1848.9726249463693,11.244323543952714,Bryce Harper,Phillies,26.0,0.26,98.0,114.0,35.0,15.0,0.5757062120298485,2.424660971416697,3.0504534637759533,2.7579338362947685,2.4355690604354456
8,2019.0,523.0,1929.5293637795592,11.231395124045305,Francisco Lindor,Indians,25.0,0.284,101.0,74.0,32.0,22.0,0.7523958228108034,2.5225664692904424,1.7140302577937239,2.4640734827826978,3.7783290913676364
9,2019.0,601.0,1916.7630987522066,11.177639462903837,Mookie Betts,Red Sox,26.0,0.295,135.0,80.0,29.0,16.0,0.8333785610854079,3.6321621118595564,1.9144937386910583,2.170213129270627,2.6273919219971873
10,2019.0,447.0,1720.2255506234324,11.143009363833706,Starling Marte,Pirates,30.0,0.295,97.0,82.0,23.0,25.0,0.8333785610854079,2.392025805458782,1.9813148989901697,1.5824924222464851,4.353797676052861
11,2019.0,237.0,1301.4359078674659,11.047903332497647,Adalberto Mondesi,Royals,23.0,0.263,58.0,62.0,9.0,43.0,0.5977924133774679,1.1192543331000926,1.313103295999055,0.2111441058568213,7.806609184164209
